name,subgenus,manualEditMLEE,removedSubSpec,removeSubGenus,genusforremovedsub,resolvedName
"Colletes xerophilus Timberlake, 1951",,,Colletes xerophilus,,,Colletes xerophilus
"Chilicola minor (Philippi, 1866)",,,Chilicola minor,,,Chilicola minor
"Chilicola friesei (Ducke, 1907)",,,Chilicola friesei,,,Chilicola friesei
Chelostoma (Foveosmia) marginatum marginatum,3,Chelostoma marginatum,,marginatum,Chelostoma marginatum,Chelostoma marginatum
Chalicodoma (Chelostomoides) campanulae campanulae,3,Chalicodoma campanulae,,campanulae,Chalicodoma campanulae,Chalicodoma campanulae
"Centris gelida Snelling, 1984",,,Centris gelida,,,Centris gelida
"Calliopsis teucrii Cockerell, 1899",,,Calliopsis teucrii,,,Calliopsis teucrii
Calliopsis (Macronomadopsis) scutellaris scutellaris,3,,,scutellaris,Calliopsis scutellaris,Calliopsis scutellaris
Bombus (Thoracobombus) pensylvanicus pensylvanicus,3,,,pensylvanicus,Bombus pensylvanicus,Bombus pensylvanicus
Bombus (Thoracobombus) fervidus fervidus,3,,,fervidus,Bombus fervidus,Bombus fervidus
Bombus (Pyrobombus) vagans vagans,3,,,vagans,Bombus vagans,Bombus vagans
Bombus (Pyrobombus) sitkensis,3,,,sitkensis,Bombus sitkensis,Bombus sitkensis
Bombus (Pyrobombus) perplexus,3,,,perplexus,Bombus perplexus,Bombus perplexus
Bombus (Pyrobombus) flavifrons,3,,,flavifrons,Bombus flavifrons,Bombus flavifrons
Bombus (Melanobombus) lapidarius lapidarius,3,,,lapidarius,Bombus lapidarius,Bombus lapidarius
Bombus (Cullumanobombus) rufocinctus,3,,,rufocinctus,Bombus rufocinctus,Bombus rufocinctus
"Augochlora (Augochlora) pura pura (Say, 1837)",3,,,pura,Augochlora pura,Augochlora pura
Augochlora (Augochlora) pura pura,3,,,pura,Augochlora pura,Augochlora pura
Atoposmia (Atoposmia) abjecta abjecta,3,,,abjecta,Atoposmia abjecta,Atoposmia abjecta
Ashmeadiella (Ashmeadiella) meliloti meliloti,3,,,meliloti,Ashmeadiella meliloti,Ashmeadiella meliloti
Ashmeadiella (Ashmeadiella) gillettei gillettei,3,,,gillettei,Ashmeadiella gillettei,Ashmeadiella gillettei
Ashmeadiella (Ashmeadiella) cactorum cactorum,3,,,cactorum,Ashmeadiella cactorum,Ashmeadiella cactorum
Ashmeadiella (Ashmeadiella) aridula aridula,3,,,aridula,Ashmeadiella aridula,Ashmeadiella aridula
Ashmeadiella (Arogochila) timberlakei timberlakei,3,,,timberlakei,Ashmeadiella timberlakei,Ashmeadiella timberlakei
Anthidiellum (Anthidiellum) notatum notatum,3,,,notatum,Anthidiellum notatum,Anthidiellum notatum
"Andrena imitatrrix Cresson, 1872",,,Andrena imitatrrix,,,Andrena imitatrrix
Andrena (Simandrena) pallidifovea,3,,,pallidifovea,Andrena pallidifovea,Andrena pallidifovea
"Andrena """"blue bands""""",,,,,,
"Amegilla velocissima (Fedtschenko, 1875)",,,Amegilla velocissima,,,Amegilla velocissima
Amegilla (Zonamegilla) perasserta,3,,,perasserta,Amegilla perasserta,Amegilla perasserta
Xylocopa tabaniformis tabaniformis,,,Xylocopa tabaniformis,,,Xylocopa tabaniformis
Ashmeadiella timberlakei solida,,,Ashmeadiella timberlakei,,,Ashmeadiella timberlakei
Melissodes submenuachus,,Melissodes menuachus,,,,Melissodes menuachus
Calliopsis scutellaris scutellaris,,,Calliopsis scutellaris,,,Calliopsis scutellaris
Bombus vagans bolsteri,,,Bombus vagans,,,Bombus vagans
Bombus vancouverensis vancouverensis,,,Bombus vancouverensis,,,Bombus vancouverensis
Pseudopanurgus fraterculus fraterculus,,,Pseudopanurgus fraterculus,,,Pseudopanurgus fraterculus
Perdita salicis imperialis,,,Perdita salicis,,,Perdita salicis
Perdita zebrata flavens,,,Perdita zebrata,,,Perdita zebrata
Perdita zebrata zebrata,,,Perdita zebrata,,,Perdita zebrata
Perdita salicis subtristis,,,Perdita salicis,,,Perdita salicis
Perdita xerophila discrepans,,,Perdita xerophila,,,Perdita xerophila
Melissodes bimaculatus bimaculatus,,,Melissodes bimaculatus,,,Melissodes bimaculatus
Anthophora bomboides bomboides,,,Anthophora bomboides,,,Anthophora bomboides
Hoplitis producta panamintana,,,Hoplitis producta,,,Hoplitis producta
Osmia ribifloris ribifloris,,,Osmia ribifloris,,,Osmia ribifloris
Perdita nasuta obscurescens,,,Perdita nasuta,,,Perdita nasuta
Perdita salicis salicis,,,Perdita salicis,,,Perdita salicis
Perdita heterothecae heterothecae,,,Perdita heterothecae,,,Perdita heterothecae
Perdita dubia parilis,,,Perdita dubia,,,Perdita dubia
Eufriesea coerulescens,,Eufriesea coerulescens,,,,Eufriesea coerulescens
Melecta separata separata,,,Melecta separata,,,Melecta separata
Nomia tetrazonata tetrazonata,,,Nomia tetrazonata,,,Nomia tetrazonata
Diadasia australis australis,,,Diadasia australis,,,Diadasia australis
Andrena prunorum prunorum,,,Andrena prunorum,,,Andrena prunorum
Dianthidium platyurum platyurum,,,Dianthidium platyurum,,,Dianthidium platyurum
Dieunomia nevadensis bakeri,,,Dieunomia nevadensis,,,Dieunomia nevadensis
Colletes compactus compactus,,,Colletes compactus,,,Colletes compactus
