"","beeID","plantID","monthID","sourceID","y"
"3362",8,90,6,7,0
"3367",8,91,6,7,0
"3370",8,92,6,7,0
"3372",8,93,6,7,0
"3377",8,94,6,7,0
"3379",8,95,6,7,0
"3384",8,96,6,7,0
"3387",8,97,6,7,0
"3392",8,98,6,7,0
"3396",8,99,6,7,0
"3399",8,100,6,7,0
"3403",8,101,6,7,0
"3409",8,102,6,7,0
"3416",8,103,6,7,0
"3419",8,104,6,7,0
"3424",8,106,6,7,0
"3426",8,107,6,7,0
"3432",8,108,6,7,0
"3438",8,109,6,7,0
"3445",8,110,6,7,0
"3449",8,111,6,7,0
"3455",8,112,6,7,0
"3463",8,114,6,7,0
"3468",8,116,6,7,0
"3471",8,117,6,7,0
"3478",8,118,6,7,0
"3481",8,119,6,7,0
"3486",8,120,6,7,0
"3493",8,122,6,7,0
"3495",8,123,6,7,0
"3502",8,125,6,7,0
"3509",8,126,6,7,0
"3988",11,1,6,7,0
"3995",11,2,6,7,0
"4002",11,3,6,7,0
"4007",11,4,6,7,0
"4018",11,7,6,7,0
"4021",11,8,6,7,0
"4023",11,9,6,7,0
"4027",11,10,6,7,0
"4033",11,11,6,7,0
"4037",11,12,6,7,0
"4043",11,13,6,7,0
"4046",11,14,6,7,0
"4051",11,15,6,7,0
"4059",11,17,6,7,0
"4062",11,18,6,7,0
"4065",11,19,6,7,0
"4067",11,20,6,7,0
"4071",11,21,6,7,0
"4078",11,22,6,7,0
"4079",11,23,6,7,0
"4082",11,24,6,7,0
"4087",11,25,6,7,0
"4094",11,26,6,7,0
"4098",11,28,6,7,0
"4105",11,29,6,7,0
"4107",11,30,6,7,0
"4110",11,31,6,7,0
"4117",11,32,6,7,0
"4126",11,35,6,7,0
"4136",11,37,6,7,0
"4141",11,38,6,7,0
"4147",11,40,6,7,0
"4151",11,41,6,7,0
"4158",11,42,6,7,0
"4165",11,43,6,7,0
"4170",11,44,6,7,0
"4176",11,46,6,7,0
"4192",11,51,6,7,0
"4197",11,52,6,7,0
"4201",11,53,6,7,0
"4208",11,54,6,7,0
"4214",11,55,6,7,0
"4219",11,57,6,7,0
"4222",11,58,6,7,0
"4226",11,59,6,7,0
"4231",11,60,6,7,0
"4234",11,61,6,7,0
"4241",11,62,6,7,0
"4243",11,63,6,7,0
"4247",11,64,6,7,0
"4251",11,65,6,7,0
"4257",11,66,6,7,0
"4263",11,67,6,7,0
"4270",11,69,6,7,0
"4277",11,71,6,7,0
"4285",11,74,6,7,0
"4295",11,77,6,7,0
"4296",11,78,6,7,0
"4302",11,79,6,7,0
"4310",11,82,6,7,0
"4313",11,83,6,7,0
"4319",11,85,6,7,0
"4323",11,86,6,7,0
"4328",11,88,6,7,0
"4338",11,90,6,7,0
"4342",11,91,6,7,0
"4345",11,92,6,7,0
"4347",11,93,6,7,0
"4353",11,94,6,7,0
"4355",11,95,6,7,0
"4361",11,96,6,7,0
"4364",11,97,6,7,0
"4369",11,98,6,7,0
"4373",11,99,6,7,0
"4378",11,100,6,7,0
"4384",11,101,6,7,0
"4391",11,102,6,7,0
"4398",11,103,6,7,0
"4403",11,104,6,7,0
"4408",11,106,6,7,0
"4410",11,107,6,7,0
"4417",11,108,6,7,0
"4421",11,109,6,7,0
"4428",11,110,6,7,0
"4432",11,111,6,7,0
"4439",11,112,6,7,0
"4449",11,114,6,7,0
"4454",11,116,6,7,0
"4458",11,117,6,7,0
"4464",11,118,6,7,0
"4469",11,119,6,7,0
"4476",11,120,6,7,0
"4484",11,122,6,7,0
"4486",11,123,6,7,0
"4491",11,125,6,7,0
"4496",11,126,6,7,0
"4739",13,1,6,7,0
"4748",13,2,6,7,0
"4756",13,3,6,7,0
"4762",13,4,6,7,0
"4774",13,7,6,7,0
"4777",13,8,6,7,0
"4779",13,9,6,7,0
"4783",13,10,6,7,0
"4789",13,11,6,7,0
"4793",13,12,6,7,0
"4799",13,13,6,7,0
"4802",13,14,6,7,0
"4807",13,15,6,7,0
"4815",13,17,6,7,0
"4818",13,18,6,7,0
"4821",13,19,6,7,0
"4823",13,20,6,7,0
"4827",13,21,6,7,0
"4836",13,22,6,7,0
"4837",13,23,6,7,0
"4840",13,24,6,7,0
"4845",13,25,6,7,0
"4853",13,26,6,7,0
"4857",13,28,6,7,0
"4865",13,29,6,7,0
"4867",13,30,6,7,0
"4870",13,31,6,7,0
"4879",13,32,6,7,0
"4891",13,35,6,7,0
"4904",13,37,6,7,0
"4909",13,38,6,7,0
"4916",13,40,6,7,0
"4920",13,41,6,7,0
"4929",13,42,6,7,0
"4938",13,43,6,7,0
"4944",13,44,6,7,0
"4952",13,46,6,7,0
"4972",13,51,6,7,0
"4978",13,52,6,7,0
"4983",13,53,6,7,0
"4992",13,54,6,7,0
"4999",13,55,6,7,0
"5004",13,57,6,7,0
"5007",13,58,6,7,0
"5011",13,59,6,7,0
"5016",13,60,6,7,0
"5019",13,61,6,7,0
"5026",13,62,6,7,0
"5028",13,63,6,7,0
"5032",13,64,6,7,0
"5037",13,65,6,7,0
"5044",13,66,6,7,0
"5051",13,67,6,7,0
"5058",13,69,6,7,0
"5065",13,71,6,7,0
"5073",13,74,6,7,0
"5085",13,77,6,7,0
"5086",13,78,6,7,0
"5092",13,79,6,7,0
"5101",13,82,6,7,0
"5104",13,83,6,7,0
"5110",13,85,6,7,0
"5114",13,86,6,7,0
"5119",13,88,6,7,0
"5130",13,90,6,7,0
"5135",13,91,6,7,0
"5138",13,92,6,7,0
"5140",13,93,6,7,0
"5146",13,94,6,7,0
"5148",13,95,6,7,0
