"","x"
"512","Bombus balteatus"
"513","Bombus bifarius"
"514","Bombus bimaculatus"
"515","Bombus bohemicus"
"516","Bombus borealis"
"517","Bombus californicus"
"518","Bombus caliginosus"
"519","Bombus campestris"
"520","Bombus canariensis"
"521","Bombus centralis"
"522","Bombus citrinus"
"523","Bombus consobrinus"
"524","Bombus crotchii"
"525","Bombus cryptarum"
"526","Bombus dahlbomii"
"527","Bombus diversus"
"528","Bombus edwardsii"
"529","Bombus ephippiatus"
"530","Bombus fernaldae"
"531","Bombus fervidus"
"532","Bombus flavescens"
"533","Bombus flavidus"
"534","Bombus flavifrons"
"535","Bombus formosellus"
"536","Bombus fraternus"
"537","Bombus frigidus"
"538","Bombus griseocollis"
"539","Bombus haematurus"
"540","Bombus honshuensis"
"541","Bombus hortorum"
"542","Bombus hortulanus"
"543","Bombus humilis"
"544","Bombus huntii"
"545","Bombus hypnorum"
"546","Bombus hypocrita"
"547","Bombus ignitus"
"548","Bombus impatiens"
"549","Bombus insularis"
"550","Bombus jonellus"
"551","Bombus juxtus"
"552","Bombus kashmirensis"
"553","Bombus kirbiellus"
"554","Bombus lapidarius"
"555","Bombus lapponicus"
"556","Bombus lucorum"
"557","Bombus medius"
"558","Bombus melanopyge"
"559","Bombus melanopygus"
"560","Bombus melanurus"
"561","Bombus mesomelas"
"562","Bombus mexicanus"
"563","Bombus mixtus"
"564","Bombus moderatus"
"565","Bombus morio"
"566","Bombus morrisoni"
"567","Bombus muscorum"
"568","Bombus neoboreus"
"569","Bombus nevadensis"
"570","Bombus occidentalis"
"571","Bombus pascuorum"
"572","Bombus pauloensis"
"573","Bombus pensylvanicus"
"574","Bombus perplexus"
"575","Bombus polaris"
"576","Bombus pratorum"
"577","Bombus pullatus"
"578","Bombus ruderarius"
"579","Bombus ruderatus"
"580","Bombus rufocinctus"
"581","Bombus rupestris"
"582","Bombus sandersoni"
"583","Bombus sitkensis"
"584","Bombus sonani"
"585","Bombus sonorus"
"586","Bombus steindachneri"
"587","Bombus sylvarum"
"588","Bombus sylvestris"
"589","Bombus sylvicola"
"590","Bombus ternarius"
"591","Bombus terrestris"
"592","Bombus terricola"
