Checklist names,Synonyms from DL,Notes
Hylaeus mesillae,"Prospis subtilis_homonym; Prosopis mesillae, replacement name; Prosopis pygmaea_homonym; Prosopis cressoni, replacement name; Prosopis magniclavis; Prosopis pasadenae; Prosopis telepora; Prosopis cressoni var magniclavis; Hylaeus laciniatus; Hylaeus repolitus; Hylaeus (Hylaeus) teleporus; Hylaeus (Hylaeus) mesillae cressoni, valid subspecies; Prosapis labiatifrons; Prosopis labiatifrons; Hylaeus (Hylaeus) labiatifrons, possible synonym",
Hylaeus polifolii,Prosopis polifolii; Hylaeus polifolii catalinensis ,
Hylaeus rudbeckiae,Prosopis rudbeckiae; Prosapis bakeri; Prosapis digitatus; Prosapis rudbeckiae race ruidosensis; Prosapis rudbeckiae race subdigitata ,
Agapostemon texanus,Agapostemon texanus subtilior; Agapostemon borealis; Agapostemon californicus; Halictus (Agapostemon) brachycerus; Agapostemon texanus iowensis; Agapostemon proscriptus; Agapostemon joseanus; Agapostemon sulfuripes; Agapostemon cyanozonus; Agapostemon proscriptellus; Agapostemon texanus vandykei; Agapostemon californicus psammobius; Agapostemon angelicus idahoensis; Agapostemon californicus clementinus,
Augochlorella pomoniella,Augochlora utahensis ,
Halictus farinosus,Halictus montanus; Paranomia venablesii; Halictus denticulus; Halictus procerus ,
Halictus harmonius            ,Halictus (Halictus) harmonius; Seladonia (Pachyceble) harmonia; Halictus (Pachyceble) harmonius ,
Halictus ligatus,Halictus armaticeps; Halictus texanus; Halictus ornatipes; Halictus townsendi; Odontalictus ligatus,
Halictus rubicundus,Apis rubicunda; Halictus nidulans; Halictus lerouxii; Halictus quadrifasciatus; Halictus lerouxii var ruborum; Halictus rubicundus var laticinctus; Halictus rubicundus var mongolensis; Halictus lupinelli; Halictus (Protohalictus) frater ,
Halictus seladonius,Apis seladonia; Halictus geminatus; Seladonia (Seladonia) seladonia ,
Halictus tripartitus,Halictus meliloti; Halictus catalinensis; Halictus (Seladonia) tripartitus; Seladonia (Pachyceble) tripartita; Halictus (Pachyceble) tripartitus ,
Lasioglossum albohirtum,Halictus (Chloralictus) albohirtus; Dialictus albohirtus; Halictus pilosellus; Dialictus pilosellus; Lasioglossum (Dialictus) pilosellum ,
Lasioglossum argemonis,"Halictus arcuatus race argemonis Cockerell, 1897; Halictus latifrons Crawford, 1907; Evylaeus argemonis (Cockerell, 1897); Lasioglossum (Evylaeus) argemonis (Cockerell, 1897)",
Lasioglossum avalonense,Halictus avalonensis; Evylaeus avalonensis; Lasioglossum (Evylaeus) avalonense,
Lasioglossum brunneiventre,Halictus (Chloralictus) brunneiventris; Dialictus brunneiventris; Halictus (Chloralictus) pilosicaudus; Dialictus pilosicaudus; Lasioglossum (Dialictus) pilosicaudum ,
Lasioglossum cabrilli,Halictus (Chloralictus) cabrilli; Dialictus cabrilli,
