genera,species,family,total_av,av_lower_mm,av_upper_mm,BYB_lower_mm,BYB_upper_mm,BEU_lower_mm,BEU_upper_mm,BW_lower_mm,BW_upper_mm,BHL_lower_mm,BHL_upper_mm
Caenohalictus,,Halictidae,8.5,5,12,,,,,5,12,,
Calliopsis,,Andrenidae,8.373333332,6.693333333,10.05333333,5.08,10.16,7,9,8,11,,
Caupolicana,,Colletidae,17.82333333,16.32333333,19.32333333,13.97,13.97,20,20,15,24,,
Cemolobus,ipomoeae,Apidae,14.83666667,13.58,16.09333333,15.24,17.78,12.5,14.5,13,16,,
Centris,,Apidae,16.58,10.20666667,22.95333333,7.62,22.86,11,14,12,32,,
Cephalotrigona,,Apidae,8,6,10,,,,,6,10,,
Ceratina,,Apidae,6.906666669,2.746666667,11.06666667,2.54,12.7,3.5,8,2.2,12.5,,
Chelostoma,,Megachilidae,5.64,2.97,8.31,2.54,7.62,,,3.4,9,,
Chilicola,,Colletidae,5.5,3,8,,,,,3,8,,
Coelioxoides,,Apidae,10.25,7.5,13,,,,,7.5,13,,
Coelioxys,,Megachilidae,12.73333333,6.026666667,19.44,5.08,20.32,8,16,5,22,,
Colletes,,Colletidae,11.31,6.693333333,15.92666667,5.08,17.78,8,14,7,16,,
Conanthalictus,,Halictidae,4.405,2.77,6.04,2.54,5.08,,,3,7,,
Crawfordapis,,Colletidae,21,18,24,,,,,18,24,,
Ctenioschelus,,Apidae,15,15,15,,,,,15,15,,
Dasypoda,,Melittidae,14,11,17,,,,,11,17,,
Deltoptila,,Apidae,12.5,10,15,,,,,10,15,,
Diadasia,,Apidae,11.965,5.04,18.89,5.08,17.78,,,5,20,,
Dianthidium,,Megachilidae,10.38,5.86,14.9,5.08,12.7,7,9,5.5,23,,
Dieunomia,,Halictidae,14.485,6.675,22.295,6.35,21.59,,,7,23,,
Dinagapostemon,,Halictidae,12.75,11,14.5,,,,,11,14.5,,
Dioxys,,Characiopsidaceae,8.945,5.54,12.35,5.08,12.7,,,6,12,,
