Order,Family,Genus,Species,scientificName,Current Name Full,resolvedPlantNames,New.Genus,New.Species
Solanales,Solanaceae,Solanum,wallacei,Solanum wallacei,Solanum wallacei (A. Gray) Parish,Solanum wallacei,Solanum,wallacei
Asterales,Asteraceae,Sonchus,asper,Sonchus asper subsp. asper,Sonchus asper (L.) Hill subsp. asper,Sonchus asper,Sonchus,asper
Asterales,Asteraceae,Sonchus,asper,,,Sonchus asper subsp. asper,,
Asterales,Asteraceae,Sonchus,oleraceus,Sonchus oleraceus,Sonchus oleraceus L.,Sonchus oleraceus,Sonchus,oleraceus
Lamiales,Lamiaceae,Stachys,bullata,Stachys bullata,Stachys bullata Benth.,Stachys bullata,Stachys,bullata
Asterales,Asteraceae,Stephanomeria,cichoriacea,Stephanomeria cichoriacea,Stephanomeria cichoriacea A. Gray,Stephanomeria cichoriacea,Stephanomeria,cichoriacea
Asterales,Asteraceae,Stephanomeria,diegensis,Stephanomeria diegensis,Stephanomeria diegensis Gottlieb,Stephanomeria diegensis,Stephanomeria,diegensis
Asterales,Asteraceae,Stephanomeria,exigua,Stephanomeria exigua ssp. coronaria,Stephanomeria exigua Benth. ssp. coronaria,Stephanomeria exigua,Stephanomeria,exigua
Asterales,Asteraceae,Stephanomeria,exigua,,,Stephanomeria exigua ssp. coronaria,,
Asterales,Asteraceae,Stephanomeria,virgata,Stephanomeria virgata subsp. virgata,Stephanomeria virgata Benth. subsp. virgata,Stephanomeria virgata,Stephanomeria,virgata
Asterales,Asteraceae,Stephanomeria,virgata,,,Stephanomeria virgata subsp. virgata,,
Asterales,Asteraceae,Symphyotrichum,chilense,Symphyotrichum chilense,Symphyotrichum chilense (Nees) G. L. Nesom,Symphyotrichum chilense,Symphyotrichum,chilense
Asterales,Asteraceae,Symphyotrichum,chilense,,,Symphyotrichum subulatum,,
Sapindales,Anacardiaceae,Toxicodendron,diversilobum,Toxicodendron diversilobum,Toxicodendron diversilobum (Torr. & A. Gray) Greene,Toxicodendron diversilobum,Toxicodendron,diversilobum
Fabales,Fabaceae,Trifolium,albopurpureum,Trifolium albopurpureum,Trifolium albopurpureum Torr. & A. Gray,Trifolium albopurpureum,Trifolium,albopurpureum
Fabales,Fabaceae,Trifolium,ciliolatum,Trifolium ciliolatum,Trifolium ciliolatum Benth.,Trifolium ciliolatum,Trifolium,ciliolatum
Fabales,Fabaceae,Trifolium,depauperatum,Trifolium depauperatum var. truncatum,Trifolium depauperatum Desv. var. truncatum (Greene) Isely),Trifolium depauperatum,Trifolium,depauperatum
Fabales,Fabaceae,Trifolium,depauperatum,,,Trifolium depauperatum var. truncatum,,
Fabales,Fabaceae,Trifolium,fucatum,Trifolium fucatum,Trifolium fucatum Lindl.,Trifolium fucatum,Trifolium,fucatum
Fabales,Fabaceae,Trifolium,gracilentum,Trifolium gracilentum,Trifolium gracilentum Torr. & A. Gray,Trifolium gracilentum,Trifolium,gracilentum
Fabales,Fabaceae,Trifolium,macraei,Trifolium macraei,Trifolium macraei Hook. & Arn.,Trifolium macraei,Trifolium,macraei
Fabales,Fabaceae,Trifolium,microcephalum,Trifolium microcephalum,Trifolium microcephalum Pursh,Trifolium microcephalum,Trifolium,microcephalum
Fabales,Fabaceae,Trifolium,variegatum,Trifolium variegatum var. major,Trifolium variegatum Nutt. var. major Lojac.,Trifolium variegatum,Trifolium,variegatum
Fabales,Fabaceae,Trifolium,variegatum,,,Trifolium variegatum var. major,,
Fabales,Fabaceae,Trifolium,willdenovii,Trifolium willdenovii,Trifolium willdenovii Spreng.,Trifolium willdenovii,Trifolium,willdenovii
Asterales,Asteraceae,Venegasia,carpesioides,Venegasia carpesioides,Venegasia carpesioides DC.,Venegasia carpesioides,Venegasia,carpesioides
