fullcode,institutionfull,institution
UBC-UBCZ,University of British Columbia - Spencer Entomological Collection ,University of British Columbia - Spencer Entomological Collection 
UCRC-ENT,"University of California Riverside, Entomology Research Museum ","University of California Riverside, Entomology Research Museum "
UCSD-Bees,University of California San Diego - Drought and Habitat Fragmentation on Native Bee Assemblages ,University of California San Diego - Drought and Habitat Fragmentation on Native Bee Assemblages 
UCSB-IZC,University of California Santa Barbara Invertebrate Zoology Collection ,University of California Santa Barbara Invertebrate Zoology Collection 
UCR,"University of California, Riverside","University of California, Riverside"
UCFC-SMFCA,"University of Central Florida, Stuart M. Fullerton Collection of Arthropods ","University of Central Florida, Stuart M. Fullerton Collection of Arthropods "
UCM-UCMC,University of Colorado Museum of Natural History Entomology Collection ,University of Colorado Museum of Natural History Entomology Collection 
UCMS,University of Connecticut Museum,University of Connecticut Museum
UDCC,University of Delaware Insect Research Collection,University of Delaware Insect Research Collection
UD-UDCC,University of Delaware Insect Research Collection ,University of Delaware Insect Research Collection
UFIFAS-UFFE,University of Florida Forestry Entomology Collection ,University of Florida Forestry Entomology Collection 
GMNH-UGCA,University of Georgia Collection of Arthropods ,University of Georgia Collection of Arthropods 
GUAM-ESUG,University of Guam Insect Collection ,University of Guam Insect Collection 
DEBU-ENT,University of Guelph Insect Collection ,University of Guelph Insect Collection 
UHIM-UHIM,University of Hawaii Insect Museum ,University of Hawaii Insect Museum 
WFBM,"University of Idaho, William F. Barr Entomological Museum","University of Idaho, William F. Barr Entomological Museum"
KU-SEMC,University of Kansas Natural History Museum Entomology Division ,University of Kansas Natural History Museum Entomology Division 
KY-UKIC,University of Kentucky Insect Collection ,University of Kentucky Insect Collection 
UMAM,University of Massachusetts Museum,University of Massachusetts Museum
UMMZ-UMMZI,"University of Michigan Museum of Zoology, Division of Insects ","University of Michigan Museum of Zoology, Division of Insects "
MIN-UMSP,University of Minnesota Insect Collection ,University of Minnesota Insect Collection 
HWML,University of Nebraska State Museum,University of Nebraska State Museum
UNSM-UNSM,University of Nebraska State Museum ,University of Nebraska State Museum 
UNR-ENTO,"University of Nevada, Reno, Museum of Natural History, Entomology Research Collection ","University of Nevada, Reno, Museum of Natural History, Entomology Research Collection "
UNHP,University of New Hampshire,University of New Hampshire
UNHC-UNHC,University of New Hampshire Collection of Insects and Arthropods ,University of New Hampshire
UND-UND-IC,University of North Dakota Insect Collection. ,University of North Dakota Insect Collection. 
UPRM-INVCOL,University of Puerto Rico Mayagüez Invertebrate Collection ,University of Puerto Rico Mayagüez Invertebrate Collection 
RED-REDA,University of Redlands Arthropod Collection ,University of Redlands Arthropod Collection 
UTC-UTCI,University of Tennessee at Chattanooga ,University of Tennessee at Chattanooga 
UVI-SOA-CES,"University of the Virgin Islands, Cooperative Extension Service Arthropod Collection ","University of the Virgin Islands, Cooperative Extension Service Arthropod Collection "
UU-UUIC,University of Utah Invertebrates Collection ,University of Utah Invertebrates Collection 
UVM-VTZT,University of Vermont Zadock Thompson Zoological Collection-Invertebrates ,University of Vermont Zadock Thompson Zoological Collection-Invertebrates 
UWOC-UWOC,University of Western Ontario Collection ,University of Western Ontario Collection 
UWSP-PARA,University of Wisconsin-Stevens Point ,University of Wisconsin-Stevens Point 
UWYMED-ENT,University of Wyoming Dillon Lab Insect Collection ,University of Wyoming Dillon Lab Insect Collection 
UDAF-UDAFE,Utah Department of Agriculture and Food Entomology Collection ,Utah Department of Agriculture and Food Entomology Collection 
VecB-Aggregate,VectorBase (Bioinformatics Resource for Invertebrate Vectors of Human Pathogens) ,VectorBase (Bioinformatics Resource for Invertebrate Vectors of Human Pathogens) 
VCE-VAL,Vermont Atlas of Life ,Vermont Atlas of Life 
