"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"45","Diadasia bituberculata","Melissodes bituberculata","Didasia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","Diadasia nigrifrons","Melissodes nigrifrons","Didasia","Coquillettapis melittoides","Diadasia nigrifrons ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","Diadasia nitidifrons","Diadasia skinneri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","Diadasia ochracea","Dasiapis ochracea","Diadasia blaisdelli","Diadasia olivacea sensu auct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","Diadasia rinconis","Diadasia australis mimetica","Diadasia rinconis mimetica","Diadasia (Coquillettapis) rinconis mimetica Cockerell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","Epeolus minimus","Triepeolus minimus","Argyroselenis minima","Argyroselenis minimus","Epeolus eastwoodae","Epeolus beulahensis","Epeolus lutzi","Epeolus lutzi dimissus","Epeolus arciferus","Epeolus pilatei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51","Eucera actuosa","Melissodes actuosa","Diadasia 3-cincta","Diadasia tricincta Fowler,","Synhalonia californica","Synhalonia fowleri","Synhalonia actuosa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","Eucera amsinckiae","Synhalonia amsinckiae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","Eucera edwardsii","Melissodes edwardsii","Synhalonia edwardsii","Synhalonia edwardsii race angustior","Tetralonia edwardsii vagabunda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","Eucera frater","Melissodes frater","Melissodes lata","Melissodes nigricornis","Synhalonia edwardsii race latior","Synhalonia albopilosa","Tetralonia lata race lautipes","Synhalonia frater lata","Synhalonia frater albopilosa","Eucera (Synhalonia) frater lata","Eucera frater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
